exp_id,date,model,feature_set,n_windows,val_days,what_changed,prev_val,new_val,reg_lambda,max_depth,min_child_weight,subsample,colsample_bytree,num_leaves,lr,mean_ic,std_ic,mean_exret,predicted_direction,predicted_reason,actual_direction,insight
E26,5月2日,xgb,31,5,21,min_child_weight,50,20,10,8,20,0.6,0.6,-,0.05,0.0259,0.05,-0.95%,↑,mcw降低=约束减少=模型容量释放=IC应升,↑IC↓ExRet,mcw降低释放更多容量；IC升但ExRet变负（W1拖累）
E27,5月2日,xgb,31,5,21,min_child_weight,20,10,10,8,10,0.6,0.6,-,0.05,0.0276,0.0532,0.74%,↑,继续降mcw预期IC继续升但可能接近拐点,↑IC↑ExRet,最优点；IC和ExRet同步最佳；λ=10软正则+mcw=10共同控制过拟合
E28,5月2日,xgb,31,5,21,min_child_weight,10,5,10,8,5,0.6,0.6,-,0.05,0.0232,0.0543,0.66%,↓,mcw=5叶节点只需5只股票易过拟合,↓,过拟合开始；IC从0.0276降到0.0232；叶节点样本过少导致噪音；确认顶点在mcw=10
E29,5月2日,xgb,31,5,21,subsample(扫描起点),0.6,0.5,10,8,10,0.5,0.6,-,0.05,0.0069,0.0353,0.87%,↓,sub太小=每棵树样本太少=高方差,↓IC↑ExRet,sub=0.5采样只250行配合depth=8反而欠拟合；IC异常低
E30,5月2日,xgb,31,5,21,subsample,0.5,0.7,10,8,10,0.7,0.6,-,0.05,0.0294,0.0381,0.14%,↑,sub从0.5到0.7样本增多应改善IC,↑IC↓ExRet,IC新高0.0294但ExRet大幅下降；sub提高→更多行→IC涨但方向偏移
E31,5月2日,xgb,31,5,21,subsample,0.7,0.8,10,8,10,0.8,0.6,-,0.05,0.0146,0.0457,-2.14%,↓,sub=0.8样本多但随机性降低=过拟合,↓,过拟合；IC和ExRet双双下降；sub=0.6~0.7是有效区间
E32,5月2日,xgb,31,5,21,colsample(固定sub=0.7),0.6,0.5,10,8,10,0.7,0.5,-,0.05,0.0346,0.0435,-0.66%,↑,col更小=每棵树用更少特征=减少冗余=IC可能升,↑IC↓ExRet,IC迄今最高0.0346；col更小→每棵树用更少特征→减少冗余特征干扰；但ExRet负
E33,5月2日,xgb,31,5,21,colsample,0.5,0.7,10,8,10,0.7,0.7,-,0.05,0.0243,0.033,-0.34%,↓,col增大=冗余特征增多=IC应降,↓,IC随col增大单调递减；col越小越有效
E34,5月2日,xgb,31,5,21,colsample,0.7,0.8,10,8,10,0.7,0.8,-,0.05,0.0097,0.0426,-0.75%,↓,继续降,↓,col=0.8过拟合；所有特征都用反而噪声多
E35,5月2日,xgb,31,5,21,sub=0.6+col=0.5(额外验证),col=0.6,col=0.5,10,8,10,0.6,0.5,-,0.05,0.0278,0.0514,-0.14%,↑(微),sub=0.6下col从0.6→0.5也应该微升IC,~IC↓ExRet,col从0.6→0.5仅+0.0002 IC但ExRet从+0.74%→-0.14%；不划算；确认sub=0.6+col=0.6是最佳平衡
E36,5月2日,lgbm,31,5,21,M4重跑(版本对比基准),?,?,5,5,20,0.6,0.6,8,0.05,0.0122,0.0327,0.04%,?,M4已知配置重跑获取ExRet做横向对比,?,IC比E10低(0.0162→0.0122)因4/29后数据更新窗口微移；ExRet接近0说明M4长期超额有限
E37,5月3日,lgbm,31,5,21,lgbm_reg_lambda(扫描起点),?,0.1,0.1,5,20,0.6,0.6,8,0.05,0.017,0.0371,0.12%,更大(>10),num_leaves=8已很保守不需要强正则,↓IC,预测错误；λ越大IC越低；num_leaves=8已极度约束模型；再加λ=双重约束把信号也杀掉
E38,5月3日,lgbm,31,5,21,lgbm_reg_lambda,0.1,1,1,5,20,0.6,0.6,8,0.05,0.0161,0.0361,-0.04%,,↓,↓,IC随λ增大单调递减
E39,5月3日,lgbm,31,5,21,lgbm_reg_lambda,1,5,5,5,20,0.6,0.6,8,0.05,0.0122,0.0327,0.04%,,↓,↓,
E40,5月3日,lgbm,31,5,21,lgbm_reg_lambda,5,10,10,5,20,0.6,0.6,8,0.05,-0.0152,0.053,-0.45%,,↓,↓,λ=10直接把IC打成负数；远超过拟合控制需求
E41,5月3日,lgbm,31,5,21,lgbm_reg_lambda,10,20,20,5,20,0.6,0.6,8,0.05,-0.0023,0.0515,0.22%,,↓,↑(微),IC仍负但ExRet略回升；噪音
E42,5月3日,lgbm,31,5,21,lgbm_reg_lambda细化,0.1,0,0,5,20,0.6,0.6,8,0.05,0.0159,0.0358,-0.05%,,↓,↓,λ=0完全无正则反而比0.1差；少量正则有稳定作用
E43,5月3日,lgbm,31,5,21,lgbm_reg_lambda细化,0,0.01,0.01,5,20,0.6,0.6,8,0.05,0.0159,0.0358,-0.05%,,~,~,与λ=0完全相同；0.01太小无实质影响
E44,5月3日,lgbm,31,5,21,lgbm_reg_lambda细化,0.01,0.05,0.05,5,20,0.6,0.6,8,0.05,0.0163,0.0363,0.50%,,↑ExRet,↑ExRet,ExRet最优点；+0.50%显著好于周边；IC略低于0.1
E45,5月3日,lgbm,31,5,21,lgbm_reg_lambda细化,0.1,0.5,0.5,5,20,0.6,0.6,8,0.05,0.0172,0.0372,0.01%,,↑IC,↑IC,IC最高0.0172；与0.1差0.0002在噪音范围内；ExRet接近0；确认0.1是IC/ExRet最佳平衡
E46,5月3日,lgbm,31,5,21,num_leaves(扫描起点),?,4,0.1,5,20,0.6,0.6,4,0.05,-0.0127,0.0601,1.09%,变大,λ小了模型有更多自由度可用更多叶子,↓IC↑ExRet,IC负但ExRet+1.09%――模型在做高beta暴露而非真正选股；不可靠
E47,5月3日,lgbm,31,5,21,num_leaves,4,8,0.1,5,20,0.6,0.6,8,0.05,0.017,0.0371,0.12%,,↑IC,↑IC,num_leaves=8是IC最优；λ=0.1+nl=8是当前最佳平衡
E48,5月3日,lgbm,31,5,21,num_leaves,8,16,0.1,5,20,0.6,0.6,16,0.05,-0.0192,0.0569,-1.07%,,↑,↓,λ=0.1正则太弱；nl>8立刻过拟合；IC转负；双重约束缺一不可
E49,5月3日,lgbm,31,5,21,num_leaves,16,31,0.1,5,20,0.6,0.6,31,0.05,-0.0219,0.0534,-0.40%,,↑,↓,继续崩；确认nl=8是顶点
E50,5月3日,lgbm,31,5,21,num_leaves,31,64,0.1,5,20,0.6,0.6,64,0.05,-0.0219,0.0534,-0.40%,,↑,~,nl=31和64完全相同――early stopping在叶子数之前截断；顶点明确在nl=8
E51,5月3日,lgbm,31,5,21,num_leaves细化(6),4,6,0.1,5,20,0.6,0.6,6,0.05,0.0157,0.0441,0.43%,,↑IC↑ExRet,↑IC↑ExRet,nl=6是IC/ExRet最佳平衡；IC=0.0157仍超baseline；ExRet=+0.43%明显好于nl=8的+0.12%；保留nl=6和nl=8两个候选
E52,5月3日,lgbm,31,5,21,min_child_samples(扫描起点),?,5,0.1,5,5,0.6,0.6,6,0.05,0.0165,0.0467,0.03%,更大(>20),nl=6叶少每叶样本多可能需要更大mcs约束,↑IC↓ExRet,IC微升至0.0165但ExRet极低；预测方向错(ExRet对但IC错)
E53,5月3日,lgbm,31,5,21,min_child_samples,5,10,0.1,5,10,0.6,0.6,6,0.05,0.0115,0.0405,-1.18%,,↓,↓,局部最差点；IC和ExRet同时最低；可能噪音
E54,5月3日,lgbm,31,5,21,min_child_samples,10,20,0.1,5,20,0.6,0.6,6,0.05,0.0157,0.0441,0.43%,,↑,↑,mcs=20恢复到最佳平衡；确认当前默认值是合理的
E55,5月3日,lgbm,31,5,21,min_child_samples,20,50,0.1,5,50,0.6,0.6,6,0.05,-0.0012,0.0562,1.90%,,↑ExRet,↑ExRet,ExRet最高+1.90%但IC≈0；与nl=4现象相同――捕获市场beta而非个股alpha；不可靠
E56,5月3日,lgbm,31,5,21,min_child_samples,50,100,0.1,5,100,0.6,0.6,6,0.05,-0.0148,0.0476,0.16%,,↓,↓,过度约束；IC和ExRet均下降；确认mcs=20是最佳平衡点
E57,5月3日,lgbm,31,5,21,subsample(扫描起点),0.6,0.5,0.1,5,20,0.5,0.6,6,0.05,0.0181,0.0442,-0.54%,,↑IC,↑IC↓ExRet,sub=0.5 IC最高0.0181但ExRet负；采样太少方差大
E58,5月3日,lgbm,31,5,21,subsample,0.5,0.7,0.1,5,20,0.7,0.6,6,0.05,-0.0097,0.0631,0.82%,,↑ExRet,↓IC↑ExRet,IC转负；sub=0.7是高beta暴露而非真正选股
E59,5月3日,lgbm,31,5,21,subsample,0.7,0.8,0.1,5,20,0.8,0.6,6,0.05,-0.0037,0.0517,-0.39%,,↑,↓,过拟合；确认sub=0.6是最佳平衡
E60,5月3日,lgbm,31,5,21,colsample(固定sub=0.6),0.6,0.5,0.1,5,20,0.6,0.5,6,0.05,0.0175,0.0458,0.01%,,↑IC,↑IC↓ExRet,IC略升但ExRet近乎0；与XGB相反――LGB小叶子需要更多特征
E61,5月3日,lgbm,31,5,21,colsample,0.5,0.7,0.1,5,20,0.6,0.7,6,0.05,0.0232,0.0459,0.99%,,↑,↑IC↑ExRet,最优点！IC和ExRet同时最高；与XGB完全相反（XGB col越小越好）
E62,5月3日,lgbm,31,5,21,colsample,0.7,0.8,0.1,5,20,0.6,0.8,6,0.05,0.0207,0.0437,1.00%,,↑,~IC↑ExRet,IC略降但ExRet与0.7持平；0.7是更稳的选择
E63,5月3日,lgbm,31,5,21,colsample,0.8,0.9,0.1,5,20,0.6,0.9,6,0.05,-0.0064,0.0544,1.49%,,↑,↓IC↑ExRet,IC转负；高ExRet是beta暴露不可靠
E64,5月3日,lgbm,31,5,21,colsample,0.9,1,0.1,5,20,0.6,1,6,0.05,0.0152,0.0514,0.87%,,↓,↑IC↓ExRet,全特征时IC略恢复但仍低于0.7；确认col=0.7是最优
E65,5月3日,lgbm,31,5,21,sub=0.5+col=0.7(额外验证),sub=0.6,sub=0.5,0.1,5,20,0.5,0.7,6,0.05,-0.0045,0.0491,-0.17%,,↑IC,↓,sub减+col升叠加反而崩；交互效应；确认sub=0.6+col=0.7是稳定点
E66,5月3日,lgbm,31,5,21,nl=8+col=0.7(关键发现),nl=6,nl=8,0.1,5,20,0.6,0.7,8,0.05,0.0378,0.0426,0.96%,,↑,↑IC↑ExRet,迄今全局最优！IC=0.0378超越XGB最优0.0346；ExRet=+0.96%；坐标下降漏掉了nl×col的交互效应
E67,5月3日,lgbm,31,5,21,nl=8+col=0.8,col=0.7,col=0.8,0.1,5,20,0.6,0.8,8,0.05,0.0075,0.0628,2.33%,,↑ExRet,↓IC↑ExRet,高ExRet但IC≈0是beta暴露不可靠；确认col=0.7是IC/ExRet最佳平衡
E68,5月3日,lgbm,31,5,21,nl=8+col=0.9,col=0.8,col=0.9,0.1,5,20,0.6,0.9,8,0.05,-0.0017,0.0534,2.02%,,↑,↓,IC转负；顶点确认在nl=8+col=0.7
E69,5月3日,xgb,32(+ROE),1*,14*,+ROE特征(target=3d),31feat,32feat,10,8,10,0.6,0.6,-,0.05,0.0584,-,-0.24%,↑,ROE质量因子应提升选股,↓,ROE使IC从0.0943降至0.0584；excess从+0.40%降至-0.236%；ROE在短窗口反而引入噪音
E70,5月3日,lgbm,32(+ROE),1*,14*,+ROE特征(target=3d),31feat,32feat,0.1,5,20,0.6,0.7,8,0.05,0.1399,-,-1.17%,↑,LGB+ROE在验证集IC高应表现好,↓,val IC=0.1399虚高（解放日噪音期）；实测excess=-1.171%；高IC≠高ExRet
E71,5月3日,xgb,32(+ROE),1*,14*,XGB+ROE as-of 4/30,as-of 4/23,as-of 4/30,10,8,10,0.6,0.6,-,0.05,0.0292,-,-,?,验证提交日期下的ROE效果,?,as-of 4/30时val IC=0.0292(vs无ROE=0.0219)；31只选股变化；未提交
E72,5月3日,lgbm,32(+ROE),1*,14*,LGB+ROE as-of 4/30,xgb+roe,lgbm+roe,0.1,5,20,0.6,0.7,8,0.05,0.0582,-,-,↑,LGB表达力更强应更好利用ROE,?,val IC=0.0582最高；但4/23实测LGB+ROE=-1.171%；val IC在Liberation Day窗口不可信；维持原提交XGB无ROE
E73,5月4日,?,27→15(5d特征精简),?,?,特征集重构为5d版本,31feat,15feat,?,?,?,?,?,?,?,?,?,?,?,?,?,移除噪音特征：ret_1d/ret_120d/vol_20d(raw)/turnover_ma_20d/close_over_ma20/pb_rank/pe_ttm_rank/margin；保留中期动量排名ret_20d_rank/vol_20d_rank；注：此时ret_20d/ret_60d(raw)也未加入
E74,5/4,lgbm,15(5d),5,7,LGBM_λ=8_基线起点,−,λ=8,8.0,8,20,0.6,0.6,8,0.05,0.0195,0.0800,-,−,val_days=7快扫基线,−,λ=8+depth=8+col=0.6；快扫起点
E75,5/4,lgbm,15(5d),5,7,LGBM_λ=3+col=0.7,λ=8,λ=3+col=0.7,3.0,8,20,0.6,0.7,8,0.05,0.0207,0.0807,-,↑,λ减小+col增大,~,IC=0.0207略升；col=0.7对LGBM正向（与3d一致）
E76,5/4,lgbm,15(5d),5,7,LGBM_λ=10+col=0.7,λ=3,λ=10,10.0,8,20,0.6,0.7,8,0.05,0.0224,0.0812,-,↑,λ增大约束增强,↑,IC=0.0224 LGBM快扫最优；λ=10+col=0.7+depth=8
E77,5/4,xgb,15(5d),5,7,XGB深度扫_d=4,d=5,d=4,10.0,4,10,0.6,0.6,-,0.05,0.0072,0.0890,-,↓,d太浅容量不足,↓,IC=0.0072极低；树太浅
E78,5/4,xgb,15(5d),5,7,XGB深度扫_d=5,d=4,d=5,10.0,5,10,0.6,0.6,-,0.05,0.0218,0.0775,-,↑,深度增加容量提升,↑,IC=0.0218；d=5已能捕获基本信号
E79,5/4,xgb,15(5d),5,7,XGB深度扫_d=6,d=5,d=6,10.0,6,10,0.6,0.6,-,0.05,0.0245,0.0724,-,↑,继续,↑,IC=0.0245最优；d=6是5d甜点
E80,5/4,xgb,15(5d),5,7,XGB深度扫_d=7,d=6,d=7,10.0,7,10,0.6,0.6,-,0.05,0.0133,0.0640,-,↑,继续,↓,IC降0.0133；开始过拟合
E81,5/4,xgb,15(5d),5,7,XGB深度扫_d=8,d=7,d=8,10.0,8,10,0.6,0.6,-,0.05,0.0208,0.0530,-,↓,过拟合,~,IC略回升0.0208仍低于d=6；d=6确认最优
E82,5/4,xgb,15(5d),5,7,XGB_λ扫_λ=3(d=6),λ=10,λ=3,3.0,6,10,0.6,0.6,-,0.05,0.0199,0.0732,-,↓,λ减小过拟合,~,IC=0.0199；λ太小
E83,5/4,xgb,15(5d),5,7,XGB_λ扫_λ=5,λ=3,λ=5,5.0,6,10,0.6,0.6,-,0.05,0.0147,0.0681,-,↑,λ增大,↓,IC意外降0.0147；非单调
E84,5/4,xgb,15(5d),5,7,XGB_λ扫_λ=10,λ=5,λ=10,10.0,6,10,0.6,0.6,-,0.05,0.0245,0.0724,-,↑,继续,↑,IC=0.0245最优；λ=10确认
E85,5/4,xgb,15(5d),5,7,XGB_λ扫_λ=15,λ=10,λ=15,15.0,6,10,0.6,0.6,-,0.05,0.0190,0.0669,-,↑,继续,↓,IC降0.0190；过正则
E86,5/4,xgb,15(5d),5,7,XGB_λ扫_λ=20,λ=15,λ=20,20.0,6,10,0.6,0.6,-,0.05,0.0186,0.0633,-,↑,继续,↓,IC=0.0186；λ=10确认最优
E87,5/4,xgb,15(5d),5,7,XGB_col=0.7测试(d6+λ10),col=0.6,col=0.7,10.0,6,10,0.6,0.7,-,0.05,0.0218,0.0714,-,↓,col增大冗余增多,↓,col=0.7 IC=0.0218<col=0.6的0.0245；XGB col越小越好
E88,5/4,xgb,15(5d),5,7,XGB_mcw扫_mcw=10(起点),−,mcw=10,10.0,6,10,0.6,0.6,-,0.05,0.0245,0.0724,-,−,mcw扫描起点,−,mcw=10基线
E89,5/4,xgb,15(5d),5,7,XGB_mcw扫_mcw=20,mcw=10,mcw=20,10.0,6,20,0.6,0.6,-,0.05,0.0283,0.0744,-,↑,mcw增大减少过拟合,↑,IC=0.0283本组最优
E90,5/4,xgb,15(5d),5,7,XGB_mcw扫_mcw=25,mcw=20,mcw=25,10.0,6,25,0.6,0.6,-,0.05,0.0263,0.0682,-,↑,继续,↓,IC降0.0263；越过最优
E91,5/4,xgb,15(5d),5,7,XGB_mcw扫_mcw=30,mcw=25,mcw=30,10.0,6,30,0.6,0.6,-,0.05,0.0245,0.0678,-,↓,过度约束,↓,IC=0.0245；mcw=20确认最优
E92,5/4,xgb,15(5d),5,7,XGB_mcw扫_mcw=15,mcw=10,mcw=15,10.0,6,15,0.6,0.6,-,0.05,0.0230,0.0658,-,↑,mcw=15介于10和20之间,↓,IC=0.0230<mcw=20
E93,5月10日,lgbm,15(去longmom),5,21,切换target_5d,target_3d,target_5d,0.1,5,20,0.6,0.7,8,0.05,0.0011,0.0212,~0%,↑,5d目标更长期IC应升,↓↓,IC崩塌=0.0011；原因：3d优化期已删去ret_20d/ret_60d；5d目标依赖中期动量信号而这些信号缺失
E94,5月10日,xgb,15(去longmom),5,21,切换target_5d,target_3d,target_5d,10,8,10,0.6,0.6,-,0.05,0.0003,0.0221,~0%,↑,同E73,↓↓,XGB同样崩塌=0.0003；两模型均依赖缺失的长动量信号；根因与E73相同
E95,5月10日,lgbm,17(+ret_20d+ret_60d),5,21,加回长动量特征,15feat,17feat,0.1,5,20,0.6,0.7,8,0.05,0.0107,0.028,2.31%,↑,补回中期信号IC应恢复,↑,IC从0.0011→0.0107；ExRet+2.31%；5d必须保留ret_20d/ret_60d确认；当前Sub2特征基础
E96,5月10日,xgb,17(+ret_20d+ret_60d),5,21,加回长动量特征(XGB),15feat,17feat,5,6,20,0.6,0.6,-,0.05,0.004,0.0207,-,↑,XGB同E75,~,XGB IC=0.0040仍低；参数未针对5d优化；需扫参
E97,5月10日,xgb,17,5,21,lam控制变量(lam=10 vs E76 lam=5),lam=5,lam=10,10,6,20,0.6,0.6,-,0.05,0.0072,0.0245,-0.07%,↑,lam更大约束更强IC应升,↑IC↓ExRet,IC升但ExRet=-0.07%；lam=10过正则；确认lam=2最优
E98,5月10日,lgbm,17,5,21,nl扫描_nl=6,nl=8,nl=6,0.1,5,20,0.6,0.7,6,0.05,0.0056,0.0441,-,↓,nl减小=容量降=IC降,↓,nl=6 IC=0.0056<nl=8的0.0107；叶少信号不足
E99,5月10日,lgbm,17,5,21,nl扫描_nl=10,nl=8,nl=10,0.1,5,20,0.6,0.7,10,0.05,0.01,0.0278,-,↑,nl增大=容量升,~,nl=10 IC=0.0100略低于nl=8；nl=8在5d下仍是甜点
E100,5月10日,lgbm,17,5,21,nl扫描_nl=12,nl=10,nl=12,0.1,5,20,0.6,0.7,12,0.05,0.0072,0.0287,-,↑,继续增大容量,↓,nl=12 IC降至0.0072；过拟合；确认nl=8最优
E101,5月10日,lgbm,17,5,21,col扫描_col=0.5,col=0.7,col=0.5,0.1,5,20,0.5,0.5,8,0.05,0.0195,0.0278,-,↑,col减小→冗余降→IC升（3d经验E61）,↑IC,col=0.5 IC=0.0195最高；3d下col小则ExRet差（E60）；选col=0.7保守
E102,5月10日,lgbm,17,5,21,col扫描_col=0.6,col=0.7,col=0.6,0.1,5,20,0.6,0.6,8,0.05,0.0108,0.0286,-,~,介于0.5和0.7之间,~,col=0.6 IC=0.0108≈col=0.7的0.0107；差异极小；维持col=0.7
E103,5月10日,lgbm,17,5,21,col扫描_col=0.8,col=0.7,col=0.8,0.1,5,20,0.6,0.8,8,0.05,0.0048,0.0261,-,↓,col增大=冗余增多,↓,col=0.8 IC=0.0048；col=0.7确认为最优
E104,5月10日,xgb,17,5,21,lam扫描_lam=1.0,lam=2(参考),lam=1.0,1,6,20,0.6,0.6,-,0.05,0.0082,0.0237,-,~,lam小→容量大→IC应升,~,IC=0.0082中等；未到lam=2的最优
E105,5月10日,xgb,17,5,21,lam扫描_lam=2.0,lam=1,lam=2.0,2,6,20,0.6,0.6,-,0.05,0.0127,0.0217,-,↑,lam适中平衡信号与正则,↑,IC=0.0127最优；与LGBM E75持平
E106,5月10日,xgb,17,5,21,col扫描_col=0.4,col=0.6,col=0.4,5,6,20,0.6,0.4,-,0.05,0.0252,0.0369,-,↑,col小→每棵树特征少→IC升（XGB 3d经验E32）,↑IC,IC=0.0252最高；3d下col小ExRet差（E32）；选col=0.6保守
E107,5月10日,xgb,17,5,21,col扫描_col=0.5,col=0.6,col=0.5,5,6,20,0.6,0.5,-,0.05,0.021,0.0351,-,↑,继续,↑IC,IC=0.0210仍高于0.6；同E86选保守col=0.6
E108,5月10日,xgb,17,5,21,col扫描_col=0.7,col=0.6,col=0.7,5,6,20,0.6,0.7,-,0.05,0.0097,0.0264,-,↓,col增大→冗余增多,↓,IC=0.0097低于col=0.6；XGB最优col=0.6确认
E109,5月10日,xgb,17,5,21,lam=2最终验证ExRet,lam=10,lam=2,2,6,20,0.6,0.6,-,0.05,0.0127,0.0217,1.92%,↑,lam=2 IC最优应ExRet也最好,↑,XGB最优确认：lam=2 IC=0.0127 ExRet+1.92%；vs lam=10 IC=0.0072 ExRet-0.07%
E110,5月10日,lgbm+xgb,17,5,21,ensemble融合50/50,lgbm_only,lgbm+xgb,0.1/2.0,5月6日,20,0.6,0.7/0.6,8/-,0.05,0.0107/0.0127,-,-,↑,双模型多样化,+,LGBM与XGB重合41/50；ensemble补充9只XGB专有股；final config提交
E111,5月10日,lgbm,25(+margin+northbound),5,21,+margin+northbound特征,17feat,25feat,0.1,5,20,0.6,0.7,8,0.05,nan,nan,-,↑,margin有信号(3d-E10)+northbound资金流,↓↓,IC=nan；所有窗口跳过；margin NaN率高→training_frame.dropna删除所有行；数据覆盖不足不可用
